id,slug,nombre,categoria,descripcion_corta,descripcion_larga,talla,nucleo,rails,precio,stock,badge,peso_kg,color_principal,tags
1,liquido-pro-pp-42,Liquido Pro PP 42",Bodyboards,Tabla de bodyboard profesional en polipropileno de alta densidad. Diseñada para riders intermedios y avanzados.,Tabla construida con núcleo de polipropileno (PP) de alta densidad para máxima rigidez y rendimiento en olas de potencia. Rails de 60/40 para mayor agarre. Incluye leash de muñeca.,42",Polipropileno (PP),60/40 Rails,380,8,Pro,1.4,Azul/Blanco,"pro,pp,42,intermedio,avanzado"
2,liquido-pro-pp-41,Liquido Pro PP 41",Bodyboards,Tabla de bodyboard profesional en polipropileno. Talla 41" ideal para riders de estatura media.,Tabla construida con núcleo de polipropileno (PP) de alta densidad para máxima rigidez y rendimiento en olas de potencia. Rails de 60/40 para mayor agarre. Incluye leash de muñeca.,41",Polipropileno (PP),60/40 Rails,360,6,Pro,1.3,Negro/Blanco,"pro,pp,41,intermedio,avanzado"
3,liquido-pro-pp-40,Liquido Pro PP 40",Bodyboards,Tabla de bodyboard profesional en polipropileno. Talla 40" para riders de talla pequeña o juvenil avanzado.,Tabla construida con núcleo de polipropileno (PP) de alta densidad para máxima rigidez y rendimiento en olas de potencia. Rails de 60/40 para mayor agarre. Incluye leash de muñeca.,40",Polipropileno (PP),60/40 Rails,340,5,Pro,1.2,Rojo/Negro,"pro,pp,40,juvenil,avanzado"
4,liquido-entry-pe-42,Liquido Entry PE 42",Bodyboards,Tabla de bodyboard para iniciación en polietileno. Flotabilidad extra para aprender a surfear olas.,Núcleo de polietileno (PE) de alta flotabilidad ideal para principiantes. Rails de 60/40. Diseño resistente a golpes y caídas. La mejor opción para iniciarse en el bodyboard.,42",Polietileno (PE),60/40 Rails,220,12,Iniciación,1.5,Celeste/Blanco,"pe,42,principiante,iniciacion"
5,liquido-entry-pe-41,Liquido Entry PE 41",Bodyboards,Tabla de bodyboard de iniciación en polietileno talla 41". Ideal para niños y adolescentes que comienzan.,Núcleo de polietileno (PE) de alta flotabilidad ideal para principiantes. Rails de 60/40. Diseño resistente a golpes y caídas. La mejor opción para iniciarse en el bodyboard.,41",Polietileno (PE),60/40 Rails,200,10,Iniciación,1.3,Verde/Blanco,"pe,41,principiante,iniciacion"
6,liquido-leash-muneca,Leash de Muñeca Liquido,Accesorios,Leash de muñeca de 6mm trenzado para bodyboard. Compatible con todas las tablas Liquido.,Leash de muñeca fabricado con cordón de uretano de 6mm de diámetro y velcro reforzado. Longitud 180cm. Compatible con cualquier tabla de bodyboard.,Universal,—,—,45,20,Accesorio,0.1,Negro,"leash,accesorio,muneca"
7,liquido-leash-bicep,Leash de Bícep Liquido,Accesorios,Leash de bícep premium para bodyboard. Máxima comodidad y seguridad en olas grandes.,Leash de bícep fabricado con cordón de uretano de 7mm. Velcro extra ancho para mayor agarre al brazo. Longitud 180cm. Recomendado para olas de potencia.,Universal,—,—,55,15,Accesorio,0.1,Negro,"leash,accesorio,bicep"
8,liquido-wax-frio,Wax Frío Liquido,Accesorios,Parafina para agua fría (abajo 18°C). Máximo agarre en el pecho y codos.,Wax especialmente formulado para temperaturas de agua por debajo de 18°C. Aplicación fácil y duradera. Presentación 85gr.,85gr,—,—,15,30,Accesorio,0.08,Blanco,"wax,parafina,frio,accesorio"
9,liquido-wax-templado,Wax Templado Liquido,Accesorios,Parafina para agua templada (18–24°C). Ideal para las olas de Perú durante el verano.,Wax especialmente formulado para temperaturas de agua entre 18 y 24°C. Agarre consistente durante toda la sesión. Presentación 85gr.,85gr,—,—,15,30,Accesorio,0.08,Blanco,"wax,parafina,templado,accesorio"
10,liquido-kit-iniciacion,Kit de Iniciación Liquido,Kits,Pack completo para empezar en el bodyboard: tabla PE 42" + leash de muñeca + wax frío.,Todo lo que necesitas para tu primera sesión de bodyboard. Tabla de polietileno 42" con leash de muñeca incluido y wax frío Liquido.,42",Polietileno (PE),60/40 Rails,270,5,Pack,1.7,Celeste/Negro,"kit,pack,iniciacion,principiante"
